,title,description
22,how technology evolve,tech enthusiast kevin kelly ask what do technology want discover it movement toward ubiquity complexity much like evolution life
23,fight injustice raw video,musician activist peter gabriel share very personal motivation stand up human right watchdog group witness tell story citizen journalist action
24,hide world shadow city,robert neuwirth author shadow city find world squatter sit where billion people now make their home be thrive center ingenuity innovation he take u tour
25,global priority bigger than climate change,give billion spend which would solve first aid or global warm danish political scientist bjorn lomborg come up surprise answer
26,dream endanger culture,with stun photo story national geographic explorer wade davis celebrate extraordinary diversity world indigenous culture which be disappear planet at an alarm rate
27,photo endanger culture,photographer phil borges show rarely see image people mountain dharamsala india jungle ecuadorean amazon in document these endanger culture intend help preserve them
28,progress not game,author robert wright explain network link fortune cooperation have guide our evolution point can use help save humanity today
29,how ghost map help end killer disease,author steven johnson take u tour i ghost map book cholera outbreak london impact have science city modern society
30,era open innovation,in deceptively casual charles leadbeater weave tight argument innovation just professional anymore passionate amateur use new tool be create product paradigm company ca
31,four american character,writer actor anna deavere smith give life author stud terkel convict paulette jenkins korean shopkeeper bull rider excerpt her solo show on road a search american character
32,everyday invention,inventor macarthur fellow saul griffith share some innovative idea lab smart rope kite tow large load
33,unleash your creativity fab lab,mit professor neil gershenfeld talk fab lab lab let people build thing they need use digital analog tool it simple idea powerful result
34,my wish rebuild rwanda,accept ted prize bill clinton ask help bring health care rwanda rest world
35,my wish build encyclopedia life,a wilson accept ted prize make plea behalf all creature learn more our biosphere build network encyclopedia all world knowledge life
36,my wish let my photograph bear witness,accept ted prize war photographer jam nachtwey show life work ask ted help him continue tell story innovative excite use news photography digital era
37,to invent give,inventor dean kamen lay out argument segway offer peek into next big idea portable energy water purification develop country
38,life code will reshape future,scientific discovery futurist juan enriquez note demand shift code our ability thrive depend our mastery code here apply notion field genomics
39,route sustainable future,founder alex steffen argue reduce humanity s ecological footprint incredibly vital now a western consumer lifestyle spread develop country
40,how architecture can connect u,architect thom mayne have never be one take easy option tour build create make glad these be big idea cast material form
41,great car be great art,american designer chris bangle explain philosophy car design an art form it own right an entertain ultimately move account bmw group deep blue project intend create suv future
42,sing what i want,nora york give stun performance her song what i want jamie lawrence keyboard steve tarshis guitar arthur kell bass
43,design detail,show series inspire unusual playful product british brand design guru paul bennett explain design do have be grand gesture but can solve small universal overlook problem
44,a philosophical quest our biggest problem,oxford philosopher transhumanist nick bostrom examine future humankind ask whether might alter fundamental nature humanity solve our most intrinsic problem
45,sample ocean dna,genomics pioneer craig venter take break epic expedition million gene team have discover so far it quest map ocean biodiversity
46,software a art,engineer artist golan levin push boundary what possible audiovisual technology in an amaze ted display show two program write perform original composition
47,shrimp kick,biologist sheila patek talk her work measure feed strike mantis shrimp one fastest movement animal world use video camera record at frame per second
48,global warm theme song manhattan january,a happy song global warm jill sobule
49,cast spell cello,caroline lavelle play cello like sorceress cast spell occasionally hide behind her wild mane blond hair a she sing pastoral theme she perform farther than sun back by thomas dolby keyboard
50,electricity metaphor web future,boom bust often compare gold rush but founder jeff bezos say s more like early day electric industry
51,a mockingbird remix,rive recap most memorable moment rhyme verse fantastical mockingbird lullaby
52,kiteflyer hill,eddi reader perform kiteflyer hill tender look back at lose love with thomas dolby piano
53,why would god create tsunami,in day follow tragic south asian tsunami rev tom honey ponder question how could love god have do here answer
54,a comic sendup,satirist tom rielly deliver wicked parody ted conference take down laptop plight polar bear people who mention one too many time they work at harvard watch special moment between tom al gore
55,la vie en rise,feature vocal mischievous accordionist singer rachelle garniez ted house band lead by thomas dolby keyboard deliver delightful rendition edith piaf standard la vie en rise
56,technology long tail,chris anderson then editor wire explore four key stag any viable technology set right price gain market share displace an establish technology finally become ubiquitous
57,cape breton fiddle reel time,violinist natalie macmaster ted musical director thomas dolby play dolby original song blue be river ethereal duet little dance
58,black men ski,what happen when black man visit aspen stew band be let know
59,ghastly tragedy suburb,in jam howard kunstler view public space should be inspire center civic life physical manifestation common good instead argue what have america nation place not worth care
60,design,ideo david kelley say product design have become much le hardware more user experience he show video new broader approach include footage prada store new york
61,what squatter city can teach u,rural village worldwide be be desert a billion people flock city live teem squatter camp slum stewart brand say good thing why it ll take minute find out
62,swim giant sunfish,marine biologist tierney thys ask u step into water visit world mola mola or giant ocean sunfish bask eat jellyfish get massage behemoth offer clue life open sea
63,salvation profit greentech,i do think go make john doerr say an emotional climate change investment to create world fit daughter live say need invest now clean green energy
64,want help africa do business here,we know negative image africa famine disease conflict corruption but say ngozi there another story happen many african nation one reform economic growth business opportunity
65,a memorial at grind zero,in emotionally charge conversation journalist kurt andersen designer david rockwell discus process build view platform at grind zero shortly after
66,a string quartet play blue room,string quartet ethel perform third movement phil kline suite blue room other story search melodic line show off deep emotional musicality these passionate player
67,tour microsoft virtual earth,microsoft stephen lawler give whirlwind tour virtual earth move up down through it cityscape dazzlingly fluidity remarkable feat require stagger amount data bring into focus
68,web secret story,jonathan harris want make sense emotional world web with deep compassion human condition project troll internet find out what all feel look
69,flip your think aid africa,emily oster stats aid africa an economic perspective reach stun conclusion everything know spread hiv continent wrong
70,spore birth game,in friendly presentation will wright demo newest game spore which promise dazzle user even more than previous masterpiece
71,how get new hip,when allison hunt find out she need new hip canada s national health care system would require her spend nearly year wait list pain she take matter into her own hand
72,africa cheetah versus hippo,ghanaian economist george ayittey unleash torrent control anger toward corrupt leader africa call cheetah generation take back continent
73,aid versus trade,ngozi former finance minister nigeria sum up four day intense discussion aid versus trade close day tedglobal share personal story explain her own commitment cause
74,why invest africa,south african investment banker euvin naidoo explain why invest africa can make great business sense
75,tell story africa,in deeply personal nigerian writer chris abani say what know be who be come story he search heart africa through it poem narrative include own
76,patient capitalism,jacqueline novogratz share story patient capital can bring sustainable job good service dignity world poorest
77,thula mama,south african vusi mahlasela dedicate song thula mama all woman especially grandmother
78,woza,after vusi mahlasela set at tedglobal audience would let him go his encore woza showcase brilliant guitar play multilingual lyric
79,my journey into movie matter,film producer jeff skoll an inconvenient truth talk film company participant production people who inspire him do good
80,joy lexicography,be beloved paper dictionary doom extinction in infectiously exuberant lead lexicographer erin mckean look at many way today print dictionary poise transformation
81,aid africa no thank,in provocative journalist andrew mwenda ask u reframe african question look beyond medium story poverty civil war helplessness see opportunity create wealth happiness throughout continent
82,my creation new form life,artist theo jansen demonstrate amazingly lifelike kinetic sculpture build plastic tube lemonade bottle his creature be design move even survive their own
83,an iraq war movie soldier,filmmaker deborah scranton talk show clip her documentary war tap which put camera hand soldier fight iraq
84,search humanity root,paleoanthropologist zeresenay alemseged look root humanity ethiopia badlands here talk find oldest skeleton humanoid child africa hold clue our humanity
85,design simplicity,mit medium lab john maeda live at intersection technology art place can get very complicate here talk par down basic
86,way world could end,how might human race end stephen petranek lay out terrible option science behind them will be wipe out by an asteroid how particle collider go wild
87,a flight solar wing,paul maccready aircraft designer environmentalist lifelong lover flight talk long career
88,this saturn,planetary scientist carolyn porco show image cassini voyage saturn focus it largest moon titan freeze enceladus which seem shoot jet ice
89,my magic move,kenichi ebina move body manner appear defy limit impose by human skeleton he combine breakdancing mime use movement be simultaneously precise fluid
90,life at foot,richard branson talk ted chris anderson up down career multibillionaire success multiple experience reveal some very surprise motivation
91,build robot,hod lipson demonstrate few cool little robot which have ability learn understand themselves even
92,illustrate woman,author illustrator maira kalman talk her life work her cover new yorker her book child she a wonderful a wise a deliciously person a she paper
93,anthropology mobile phone,nokia researcher jan chipchase investigation into way interact technology have lead him village uganda inside our pocket he make some unexpected discovery along way
94,clue understand your brain,vilayanur ramachandran tell u what brain damage can reveal connection between celebral tissue mind use three startle delusion a example
95,a commodity exchange ethiopia,economist eleni outline her ambitious vision find first commodity market ethiopia her plan would create wealth minimize risk farmer turn world largest recipient food aid into regional food basket
96,how electroshock therapy change me,surgeon author sherwin nuland discus development electroshock therapy a cure severe depression include own it s move heartfelt relief redemption second chance
97,law choke creativity,lawrence lessig net s most celebrate lawyer cite john philip sousa celestial copyright ascap cartel argument revive our creative culture
98,play dna,paul rothemund write code cause dna arrange itself into star smiley face more sure stunt but also demonstration at smallest scale vast implication future make thing
99,a critical look at geoengineering against climate change,environmental scientist david keith propose cheap effective shock mean address climate change what if inject huge cloud ash into atmosphere deflect sunlight heat
100,use biology rethink energy challenge,juan enriquez challenge our definition bioenergy oil coal gas other hydrocarbon be not chemical but biological product base plant matter thus growable our whole approach fuel argue need change
101,case optimism,we know global warm year do little say director larry brilliant in spite other depress trend optimistic tell u why from skoll world forum oxford uk
102,sticky wonder gecko foot,biologist robert full share video some captivate critter take closer look at spiny leg allow cockroach scuttle across mesh foot let gecko run straight up wall
103,design destiny,designer philippe starck no pretty slide show spend minute reach very root question why design listen carefully one perfect mantra all u genius or not
104,win oil endgame,in energize amory lovins lay out simple plan wean u off oil revitalize economy
105,lose art,lakshmi pratury remember lose art share series note her father write her before die her short but heartfelt may inspire set pen paper too
106,we worry local warm your lap,investor prankster yossi vardi deliver ballsy lecture danger blogging specifically men
107,emergent genius ant colony,deborah gordon study ant colony arizona desert understand their complex social system she ask how do these chitinous creature get down business even multitask when they need no language memory or visible leadership her answer could lead better understand all complex system brain web thank ant
108,mystery box,abrams trace love unseen mystery passion evident film tv show include lose star trek upcoming star war vii back it magical beginning
109,underwater astonishment,david gallo show footage amaze sea creature include cuttlefish perfectly camouflage octopus time square worth neon light display fish who live blackest depth ocean this short celebrate pioneer work ocean explorer like edith widder roger hanlon
110,treat design a art,paola antonelli design curator at new york museum modern art want spread her appreciation design all shape form around world
111,a master architect ask now what,in wildly entertain discussion richard saul wurman architect frank gehry give tedsters take power failure recent build then what factor
112,tembererana,raúl midón perform all answer world premiere at follow by sprightly tembererana
113,rebuild neighborhood beauty dignity hope,bill strickland tell quiet astonish tale redemption through art music unlikely partnership
114,learner,wofford college president bernie dunlap tell story sandor teszler hungarian holocaust survivor who teach him passionate live lifelong learn
115,music war,new york time tech columnist david pogue perform satirical itunes download war borrow few note sonny cher village people
116,an unusual glimpse at celebrity,by make photograph seem show our favorite celebs diana elton john do what really secretly want see them do alison jackson explore our desire get personal celebs contain graphic image
117,ted nonprofit transition,chris anderson give prior take over leadership ted richard saul wurman be leave ted future be balance he seek persuade tedsters what be then conference have secure future a an nonprofit endeavor
118,idea behind zipcar what come next,robin chase found zipcar world s biggest business that be one her smaller idea here she travel much farther contemplate scheme will shake up our drive habit mesh network vast a interstate
119,a song city,jaime lerner reinvent urban space native curitiba brazil along way change way city planner worldwide see what possible metropolitan landscape
120,an illustrate journey through rome,david macaulay relive wind sometimes surreal journey toward completion rome antic illustrate homage historic city
121,new power collaboration,howard rheingold talk come world collaboration participatory medium collective action wikipedia really an outgrowth our natural human instinct work a group
122,untouchable music theremin,virtuoso pamelia kurstin perform discus her theremin electronic instrument play without be touch song include autumn leave lush life david mash s listen word be go
123,story project orion,author george dyson spin story project orion massive spacecraft could have take u saturn five year his insider s perspective secret cache document bring an atomic age dream life
124,build uniqueness,look back over long career architect moshe safdie delve into four design project explain labor make each one truly unique it site it user
125,jill julia show,two ted favorite jill sobule julia sweeney team up delightful set mix witty songwriting little bite social commentary
126,juggle jest,illustrious juggler raspyni brother show off their uncanny balance agility coordination willingness sacrifice others now if just stand completely still
127,a parable kenya,joseph lekuton member parliament kenya start story remarkable education then offer parable africa can grow his message hope have never be more relevant
128,model rocketry,moneyman steve jurvetson take tedsters inside awesome hobby launch model rocket by share some gorgeous photo infectious glee just whiff danger
129,a powerful idea idea,with all intensity brilliance which know alan kay envision better technique teach kid by use computer illustrate experience way mathematically scientifically only computer can
130,on verge create synthetic life,can create new life out our digital universe craig venter ask his answer yes pretty soon he walk through latest research promise soon be able build boot up synthetic chromosome note this be give field science have develop quickly since then read criticism update below more detail
131,prediction,with surprise accuracy nicholas negroponte predict what will happen web interface service kiosk touchscreen interface iphone own one laptop per child project
132,my day a young rebel,before be legend architect frank gehry take whistlestop tour early work house venice beach american center paris which be under construction much mind when give
133,my wish find next einstein africa,accept ted prize physicist neil turok speak out talented young african starve opportunity by unlock nurture continent creative potential can create change africa future
134,my green agenda architecture,architect norman foster discus own work show computer can help architect design build be green beautiful basically from dld conference munich
135,No description,rokia traore sing move accompany malian string instrument soulful timbre a quietly mesmerize performance
136,sputnik mania,filmmaker david hoffman share footage documentary sputnik mania which show soviet union launch sputnik lead both space race arm race science math education around world
137,a new kind music video,what would music video look like if be direct by music purely a an expression great song rather than drive by filmmaker concept designer jakob trollback share result experiment form
138,new think climate crisis,in slideshow premier al gore present evidence pace climate change may be even worse than scientist recently predict he challenge u act
139,invent instrument unlock new music,tod machover mit medium lab devote extend musical expression everyone virtuoso amateur most diverse form opera video game he composer dan ellsey shed light what next
140,new economics,yochai benkler explain collaborative project like wikipedia linux represent next stage human organization
141,health care,ernest madu run heart institute caribbean kingston jamaica where prove careful design smart technical choice true desire serve possible offer healthcare develop world
142,where do creativity hide,novelist amy tan dig deep into creative process look hint hers evolve
143,make sense string theory,physicist brian greene explain superstring theory idea minscule strand energy vibrate dimension create every particle force universe
144,wake up it they might be giant,in very very set they might be giant rock play older bee bird moth asbury park fingertip alphabet nation plus they take phone call dead
145,think behind,hector ruiz executive chair amd want give internet access everyone in share extraordinary life story describe amd initiative call connect percent world by
146,way mushroom can save world,mycologist paul stamets list way mycelium fungus can help save universe clean pollute soil make insecticide treat smallpox even flu virus
147,can domesticate germ,evolutionary biologist paul ewald drag u into sewer discus germ why be some more harmful than others how could make harmful one benign search answer examine disgust fascinate case diarrhea
148,juggle a art science,michael moschen put quietly mesmerize show juggle do think juggle an art you might just change your mind after watch moschen motion
149,a think experiment intelligence crow,hacker writer joshua klein fascinate by crow notice gleam intelligence their little black eye after long amateur study corvid behavior come up an elegant think experiment machine could form new bond between animal human
150,astonish hide world deep ocean,ocean explorer robert ballard take u mindbending trip hide world underwater where other researcher be find unexpected life resource even new mountain he make case serious exploration map google ocean anyone
151,design object tell story,designer yves behar dig up creative root discus some iconic object create leaf lamp jawbone headset then turn witty surprise elegant object work now include laptop
152,move sculpture,sculptor engineer arthur ganson talk work kinetic art explore deep philosophical idea fun look at
153,a hospital tour nigeria,seyi oyesola take sear look at health care underdevelop country his photo tour nigerian teach hospital all hack donate supply drive home challenge do basic health care there
154,bottom billion,around world right now one billion people be trap poor or fail country how can help them economist paul collier lay out bold compassionate plan close gap between rich poor
155,meme temes,susan blackmore study meme idea replicate themselves brain brain like virus she make bold new argument humanity have spawn new kind meme teme which spread itself via technology invent way keep itself alive
156,archeology animal photography bbq,nathan myhrvold talk few latest fascination animal photography archeology bbq generally be an eccentric genius multimillionaire listen wild story somewhat raunchy edge animal world
157,kounandi,rokia traore perform kounandi breathtaking song blend malian instrument modern heartfelt vocal note this song not available download
158,worldwide web belief ritual,anthropologist wade davis muse worldwide web belief ritual make u human he share breathtaking photo story elder brother group sierra nevada indian whose spiritual practice hold world balance
159,ancestor language,after speak at elegance physic amaze murray give quick overview another passionate interest find common ancestry our modern language
160,birth computer,historian george dyson tell story birth modern computer it origin hilarious notebook some early computer engineer
161,turn powerful stats into art,artist chris jordan show u an arrest view what western culture look like his supersized image picture some almost unimaginable statistic like astonish number paper cup use every single day
162,robot inspire by cockroach ingenuity,insect animal have evolve some amaze skill but a robert full note many animal be actually trick copy only what necessary he show human engineer can learn animal trick
163,a mobile fridge vaccine,adam grosser talk project build refrigerator work without electricity bring vital tool village clinic worldwide tweak some old technology come up system work
164,surprise stats child carseats,steven levitt share data show car seat be no more effective than seatbelt protect kid die car however during question answer session make one crucial caveat
165,one laptop per child two year,nicholas negroponte talk one laptop per child do two year speak at eg conference while first xo laptop roll off production line recap controversy recommit goal project
166,clonie,nellie mckay perform song clonie create ultimate companion
167,a performance breath music passion,composer sxip shirey make music simple dramatic act breathe alone together open your ear passionate minute
168,stephen hawk zero g flight,x prize founder peter diamandis talk help stephen hawk fulfill dream go space by fly together into upper atmosphere experience weightlessness at zero g
169,story girl,photographer rick smolan tell unforgettable story young amerasian girl fateful photograph an adoption saga twist
170,peace earth,guitarist singer raul midon play everybody peace earth during set at ted
171,a hero congo forest,botanist corneille ewango talk work at okapi faunal reserve congo basin heroic work protect poacher miner rag civil war
172,animate character by evolve them,torsten reil talk study biology can help make animate people by build human inside out bone muscle nervous system he speak at ted see work now
173,what happen when lose everything,nine day before filmmaker david hoffman lose almost everything own fire destroy home office year passionate collect he look back at life be wipe clean an instant look forward
174,institution collaboration,in prescient clay shirky show close group company will give way looser network where small contributor have big role fluid cooperation replace rigid plan
175,mother pearl if i have you,wonderful nellie mckay sing mother pearl immortal first line feminist do have sense humor if i have you her sparkle set at
176,let look life outer solar system,physicist freeman dyson suggest start look life moon jupiter out past neptune kuiper belt oort cloud he talk what such life would be like might find
177,on technology faith,speak at ted rev billy graham marvel at technology power improve live change world but say end evil suffer death will come only after world accept christ a legendary ted archive
178,new era positive psychology,martin seligman talk psychology a field study a work each patient each practitioner a move beyond focus disease what can modern psychology help u become
179,wonder zulu wire art,in short marisa talk village traditional zulu wire weaver build worldwide market their dazzle work
180,on humanity,chris abani tell story people people stand up soldier people be compassionate people be human reclaim their humanity it ubuntu say only way me be human reflect my humanity back at me
181,a dig humanity origin,louise leakey ask who be question take her rift valley eastern africa where she dig evolutionary origin humankind suggest stun new vision our compete ancestor
182,web a art,at eg conference december artist jonathan harris discus latest project which involve collect story own stranger story collect internet include amaze we feel fine
183,a tour modern architecture,reed kroloff give u new lens judge new architecture modern or romantic look glorious image two lead practice blister critique plan process
184,a computer work like brain,researcher kwabena boahen look way mimic brain supercomputing power silicon because messy redundant process inside our head actually make small light superfast computer
185,blindfold origami cello,after robert lang origami at bruno bowden step onstage challenge would fold one lang astonishingly complicate origami figure blindfold under minute he accompany by cellist rufus cappadocia
186,a family tree humanity,all human share some common bit dna pas down u our african ancestor geneticist spencer well talk genographic project will use share dna figure out be all our diversity truly connect
187,how photography connect u,photo director national geographic david griffin know power photography connect u our world in fill glorious image talk all use photo tell our story
188,dog train,speak at eg conference trainer ian dunbar ask u see world through eye our beloved dog by know our pet perspective can build their love trust it message resonate well beyond animal world
189,dog song,animal fan nellie mckay sing sparkle tribute her dear dog she suggest all do same just go right and find yourself and make doggie what all
190,great piano performance recreate,imagine hear great depart pianist play again today just a they would person john walker demonstrate record can be analyze precise keystroke pedal motion then play back grand piano
191,how i become an activist,ory okolloh tell story her life her family she come do her heroic work report do kenya parliament
192,dna fold detail,in paul rothemund give ted short summary specialty dna fold now lay out clear abundant detail immense promise field create tiny machine assemble themselves
193,our next giant leap,peter diamandis say our moral imperative keep explore space talk x prize other incentive go do just
194,web more than better tv,in absorb look at emerge medium tech history peter hirshberg share some crucial lesson silicon valley explain why web so much more than better tv
195,what think know,start four basic question may be surprise find ca answer jonathan drori look at gap our knowledge specifically what do science might think do
196,how human animal can live together,legendary chimpanzee researcher jane goodall talk tacare her other community project which help people boom african town live threaten animal
197,how survive nuclear attack,face nuclear terror have change since cold war but expert irwin redlener remind u threat still real he look at some history farcical countermeasure offer practical advice survive an attack
198,a free digital library,brewster kahle build truly huge digital library every book ever publish every movie ever release all stratum web history it all free public unless someone else get first
199,life deep ocean,with vibrant video clip capture by submarine david gallo take u some earth darkest most violent toxic beautiful habitat valley volcanic ridge ocean depth where life bizarre resilient shockingly abundant
200,once upon time my mother,storyteller carmen agra deedy spin funny wise luminous tale parent kid star her cuban mother settle enjoy ride mama drive
201,camel hump,keith bellow gleefully outline engineer marvel camel vital creature call suv desert though could bring live camel ted get camera crew a close a humanly possible beast full rut
202,what security mean me,playwright eve ensler explore our modern crave security why make u le secure listen inspire heartbreaking story woman make change
203,how pitch vc,think startup david rise ted u pitch venture capitalist tell thing need know yourself prove vc before fire up your slideshow
204,health human mind,listen closely marvin minsky arch eclectic charmingly offhand health overpopulation human mind pack subtlety wit wisdom just an ounce wily advice
205,playtime pleo your robotic dinosaur friend,pleo robot dinosaur act like live pet explore cuddle play react learn inventor caleb chung talk pleo wild toy career at week pleo ship store first time
206,robot will invade our live,in prophetic roboticist rodney brook talk robot be go work their way into our live start toy move into household chore beyond
207,thing i learn my life so far,rockstar designer stefan sagmeister deliver short witty life lesson express through surprise mode design include inflatable monkey
208,politics religion be technology,noah feldman make sear case both politics religion whatever their difference be similar technology design efficiently connect manage any group people
209,blur build other architecture,in engross eg architect liz diller share her firm more unusual work include blur build whose wall be make fog revamp alice tully hall which wrap glow wooden skin
210,move photo extreme tb,an ancient disease take deadly new form jam nachtwey share powerful photograph newly strain tuberculosis have develop due misuse inadequate medical treatment might be touch off global medical crisis
211,be game better than life,game designer david perry say tomorrow videogames will be more than mere fun next generation gamers they be lush complex emotional experience more involve meaningful some than real life with an excerpt michael highland film a real a your life
212,lesson past president,historian doris kearns goodwin talk what can learn american president include abraham lincoln lyndon johnson then she share move memory her own father their share love baseball
213,web a city,steven johnson say web like city build by many people completely control by no one intricately interconnect yet function a many independent part while disaster strike one place elsewhere life go
214,play invisible turntable,human beatbox jam audiopoet burchfield perform an intricate breakdown sexy propulsive rhythm turntable texture all use only voice
215,design elastic mind,moma design curator paola antonelli preview groundbreaking show design elastic mind full product design reflect way think now
216,on glamour,in timely cultural critic virginia postrel muse true mean powerful use glamour which she define a any calculate carefully polish image design impress persuade
217,heal through diet,dean ornish talk simple way take advantage body natural desire heal itself
218,alien love where be they,humorist john hodgman ramble through new story alien physic time space way all these somehow contribute sweet perfect memory fall love
219,nature human,in aircraft designer paul maccready look at planet which human have utterly dominate nature talk what all can do preserve nature balance his contribution solar plan superefficient glider electric car
220,face aid africa,in move documentary photographer kristen ashburn share unforgettable image human impact aid africa
221,a story mix emoticon,rive tell typographical fairy tale short bittersweet
222,toy material future,inventables guy zach kaplan keith schacht demo some amaze new material might use them look squishy magnet ink dry liquid very surprise pole
223,story ezra,filmmaker newton aduaka show clip powerful lyrical feature film ezra child soldier sierra leone
224,balance act compassion,while all agree compassion great idea rabbi tabick acknowledge there be challenge it execution she explain careful balance compassion justice allow u do good deed keep our sanity
225,profound journey compassion,swami dayananda saraswati unravel parallel path personal development attain true compassion he walk u through each step helpless infancy fearless act care others
226,compassion at dinner table,join rev jam forbes at dinner table southern childhood where mother father teach him what compassion really mean day day share those who need love
227,lose your ego find your compassion,imam faisal abdul rauf combine teach story rumi example muhammad jesus demonstrate only one obstacle stand between each u absolute compassion ourselves
228,expand your circle compassion,it hard always show compassion even people love but robert thurman ask develop compassion our enemy he prescribe meditation exercise extend compassion beyond our inner circle
229,evolution compassion,robert wright use evolutionary biology game theory explain why appreciate golden rule do unto others why sometimes ignore why there s hope near future might all have compassion follow
230,a flight through ocean,graham hawk take u aboard graceful wing submarine depth planet ocean earth it deep blue world landlubber rarely see
231,power danger online crowd,jam surowiecki pinpoint moment when social medium become an equal player world tsunami when youtube video blog ims txts carry news preserve move personal story tragedy
232,walk earth my vow silence,for almost three decade john francis have be planetwalker travel globe by foot sail message environmental respect responsibility those year without speak a funny thoughtful occasional banjo
233,tale creativity play,at serious play conference designer tim brown talk powerful relationship between creative think play many example can try at home one maybe should
234,science scent,what science behind sublime perfume with charm precision biophysicist luca turin explain molecular makeup art scent
235,science democracy,physicist lee smolin talk scientific community work a put fight argue a hard a can but everyone accept next generation scientist will decide who right and say democracy work too
236,a complicate hero war dictatorship,would negotiate someone know be evil save live samantha power tell story complicate hero sergio vieira de mello this un diplomat walk thin moral line negotiate world worst dictator help their people survive crisis it compel story tell fiery passion
237,story behind mar rover,at serious play charles elachi share story nasa legendary jet propulsion lab include tale video mar rover project
238,long now,stewart brand work clock long now timepiece count down next year it beautiful project ask u think far far future here discus tricky side problem clock where can put
239,fashion creativity,fashion designer isaac mizrahi spin through dizzy array inspiration pinups fleet glimpse woman street who make him shout stop cab inside ramble be real clue live happy creative life
240,a tour nollywood nigeria boom film industry,filmmaker franco sacchi tour u through nollywood nigeria boom film industry world largest guerrilla filmmaking brilliance under pressure crew can shoot feature week
241,what i worry what i excite,technologist futurist bill joy talk several big worry humanity several big hop field health education future tech
242,a foie gras parable,at conference chef dan barber tell story small farm spain have find humane way produce foie gras raise goose natural environment farmer eduardo sousa embody kind food production barber believe
243,do green thing,andy hobsbawm share fresh ad campaign go green some fringe benefit
244,come neurological epidemic,biochemist gregory petsko make convince argument next year see an epidemic neurological disease such a alzheimer a world population age his solution more research into brain it function
245,mysterious live giant tree,science writer richard preston talk some most enormous live be planet giant tree u pacific northwest grow tiny seed they support vast ecosystem be still largely mystery
246,life second life,why build virtual world philip rosedale talk virtual society found second life it underpinnings human creativity it place so different anything could happen
247,future car,general motor veep larry burn preview cool car design sleek customizable vehicle run clean hydrogen pump energy back into electrical grid when they idle
248,demo orb,inventor nick sear demo first generation orb rotate display create glow image a short cool tale invention
249,joyful tradition mountain music,folk musician storyteller david holt play banjo share photograph old wisdom appalachian mountain he also demonstrate some unusual instrument like mouth bow surprise electric drum kit call thunderwear
250,playful search beauty,ceramic designer eva zeisel look back career what keep her work a fresh today her latest line debut a her sense play beauty her drive adventure listen story rich colorful life
251,a plea be,be be die drove why lead apiarist dennis vanengelsdorp look at gentle misunderstand creature important place nature mystery behind it alarm disappearance
252,my library human imagination,jay walker curator library human imagination conduct surprise session highlight few intrigue artifact backdropped ted stage
253,there might just be life mar,so mar rover do scoop up any alien lifeforms scientist penelope boston think there good chance percent chance fact life might exist mar deep inside planet cave she detail should look why
