,title,id,text
20,جیمز کوک,3056,جعبه زندگینامه نام شخص جیمز کوک نام تصویر عرض تصویر توضیح تصویر نام جوایز دریافتی لقب زمینه فعالیت دریانورد ملیت اهل دوره فعالیت محل زندگی مذهب نهاد همسر الیزابت باتس فرزند جیمز ناتانیل الیزابت جوزف جورج هیو والدین جیمز گریس آرامگاه مدفن نقش برجسته پیشه کاشف ملوان وب منصب سبک مکتب آثار تاریخ تولد اکتبر میلاد محل تولد مارتون یورکشایر سخ تاریخ مرگ فوریه میلاد سن سن
21,زوارتنوتس تاریخ,3058,کلیسا جامع زوارتنوتس ویرانه کلیسا جامع زوارتنوتس اچمیادزین واغارشاپات اچمیادزین استان آرماویر ارمنستان کلیسا حواری ارمنی
22,فرودگاه المللی زوارتنوتس,3059,فرودگاه المللی زوارتنوتس فرودگاه المللی زوارتنوتس موقعیت فرودگاه کشور ارمنستان المللی اداره هواپیما کشور ارمنستان ایروان زوارتنوتس ارمنستان ارمنستان
23,درام ابهام زدایی,3060,درام موارد اشاره دراما درام روایت رویداد هنر نمایش هنر نمایش نامه ادبیات نمایش دراماتیک فیلم درام نام ژانر سینما درام واحد پول واحد پول ارمنستان درام موسیقی ابهام زدایی
24,درام واحد پول,3061,پرونده درام چپ اسکناس پانصد درامی قدیم درام ارمنی نام واحد پول کشور ارمنستان واژه درام در پارس میانه زبان ارمنی پارس میانه واژه واژه زبان یونان یونان دراخما وام گرفت#گیر تلفظ گوناگون واژه خاورمیانه رواج در درهم درام امروز زبان ارمنی واژه در معنی پول ژوئیه میلاد دلار آمریکا دلار ایالات متحده آمریکا ایالات متحده آمریکا حدودا درام اسکناس چرخه اس
25,اوگاریت,3065,پادشاه اوگاریت محل ر س شمرا امروزی دیرینگی هزاره میلاد بازمی شمال غرب سوریه کیلومتر شمال شهر لاذقیه واقع باستان شناسان کاوش منطقه متون یافت#یاب زبان ناشناخته نوشته شد#شو متون نمونه خط الفبا جهان شمرد#شمار آمد#آ باستان شناسان فرانسوی سال میلاد کاوش کاوشگاه باستانی اوگاریت آغاز کرد#کن موفق کشف لوحه زبان اکدی زبان مرجع
26,ولایت بادغیس,3068,جعبه ولایت افغانستان نام رسم ولایت بادغیس تصویر اندازه تصویر برچسب تصویر نام قدیم وائیتی گئس وادگ س وادغ س سال ولایت جمعیت م رشدجمعیت تراکم جمعیت زبان فارس پشتو مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان والی عبدالغنی صابر شماره وب شهر قلعه نو افغانستان قلعه نو ولسوالی‌ها علاقه داری‌ها ولایت
27,ولایت بغل,3069,جعبه ولایت افغانستان نام رسم ولایت بغل تصویر اندازه تصویر برچسب تصویر استان نام قدیم سال ولایت جمعیت رشدجمعیت تراکم جمعیت زبان پشتو فارس مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان والی شماره وب شهر ولسوالی‌ها علاقه داری‌ها
28,ولایت بلخ,3070,جعبه ولایت افغانستان نام رسم ولایت بلخ تصویر اندازه تصویر برچسب تصویر استان نام قدیم سال ولایت جمعیت رشدجمعیت تراکم جمعیت زبان فارس پشتو ترکمنی ازبک مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان والی شماره وب شهر ولسوالی‌ها علاقه داری‌ها
29,ولایت پرو,3071,جعبه ولایت افغانستان نام رسم ولایت پرو تصویر اندازه تصویر برچسب تصویر استان نام قدیم سال ولایت جمعیت رشدجمعیت تراکم جمعیت زبان پشتو پارس مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان والی بصیر سالنگی شماره وب
30,ولایت بام,3072,جعبه ولایت افغانستان نام رسم ولایت بام تصویر اندازه تصویر برچسب تصویر ولایت نام دار عبدالطالب ذکی نام قدیم بامیکان سال ولایت جمعیت رشدجمعیت تراکم جمعیت زبان پ فارس مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان شماره وب شهر ولسوالی‌ها پنجاب مرکز بام یکه ولنگ ورس سخ سیغان شیبر کهمرد علاقه داری‌ها
31,ولایت هرات,3073,جعبه ولایت افغانستان نام رسم ولایت هرات تصویر اندازه تصویر برچسب تصویر استان نام قدیم سال ولایت جمعیت مدرسه نیرو دریا رشدجمعیت تراکم جمعیت زبان پارس مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان والی حسین انوری شماره وب شهر هرات شیندند سبزوار
32,ولایت وردک,3074,جعبه ولایت افغانستان نام رسم ولایت وردک تصویر اندازه تصویر برچسب تصویر استان نام قدیم سال ولایت جمعیت رشدجمعیت تراکم جمعیت زبان پشتو پارس مساحت کیلومتر مربع ارتفاع میانگین دما میانگین بارش سالانه شمارروزهای یخبندان والی شماره وب شهر ولسوالی‌ها علاقه داری‌ها
33,استان ننگرهار,3076,ولایت ننگرهار
34,خرید لوئیزیانا,3091,ترجمه انگلیسی تاریخ اوت سخ ایالات متحده آمریکا سخ پرونده بندانگشت نقشه توسط فرنک باند
35,محمد تقی بهار,3095,تغییرمسیر محمدتقی بهار
36,امام خمینی,3098,تغییرمسیر سید روح الله خمینی
37,انقلاب ایران,3099,تغییرمسیر انقلاب اسلام انقلاب انقلاب ایران بهمن ماه سال هجری خورشید مشارکت طبقات مختلف مردم بازار احزاب سیاسی مخالف حکومت پهلوی روشنفکر دانشجو روحانیون شیعه ایران انجام پذیرفت#پذیر دودمان پهلوی نظام پادشاه کشور سرنگون زمینه کار آمدن نظام جمهوری اسلام رهبر روحانی شیعه سید روح الله خمینی روح الله خمینی فراهم تفکرات شخصیت اسلام انقلاب ضدسلطنتی حضور برجسته خمینی انقلاب اسلام خواند#خوان
38,انقلاب اسلام,3100,تغییرمسیر انقلاب ایران
39,انقلاب اسلام ابهام زدایی,3101,انقلاب اسلام انقلاب بهمن ماه سال ایران رخ اطلاق انقلاب اسلام موارد اشاره انقلاب اسلام روزنامه انقلاب اسلام تمبر ابهام زدایی
40,ایالات متحده آمریکا,3103,کاربرد تغییرمسیر آمریکا نوشتار برگزیده جعبه اطلاعات کشور نام اصل نام فارس رسم نام عادی ایالات متحده آمریکا تصویر پرچم تصویر نشان ملی شعار ملی توکل خداست رسم سخ واحد متشکل تعدد سنت سرود ملی پرچم پرستاره پرچم پ رستاره سخ وسط پرونده نقشه پایتخت واشینگتن دی بزرگ شهر نیویورک سیتی زبان رسم
41,غزل,3111,کاربرد واژه عرب غزل لغت معنا عشق بازی سخن گفتن زن اصطلاح غزل قالب شعر سنت فارس مصراع مصراع زوج قافیه معمولا بیت ابیات غزل فارس مضمون استقلال بیت شاعر نام شعر تخلص آورد#آور بیت شاه بیت بیت الغزل گفت#گو موضوع اصل غزل عواطف احساسات ذکر زیبایی کمال معشوق شکوه روزگار قدیمی‌ترین نمونه غزل مستقل آثار شهید بلخی رودکی سمرقند دقیق توسی
42,موزائیک,3117,موزائیک کاخ شاپور یکم بیشاپور تصویر چیدن منظم هموار قطعات سنگ رنگ سفال ساخت#ساز موزائیک پاره چین فرهنگ واژه مصو ب فرهنگستان دفتر نامید#نام پاره چین رشته صنایع دست پاره چین پرونده بندانگشت تابلو موزائیک سنگ چهره هوارد باسکرویل پارک مفاخر تبریز ساخته توسط صابر بقال اصغر استفاده سنگ ریزه ساحل دریا خودرنگ
43,کابوکی,3118,منبع متن ژاپن پرونده بندانگشت نمونه اجرا کابوکی ژوئیه میلاد
44,فرانسه,3119,بهبود منبع جمهوری فرانسه سخ پرونده پرچم فرانسه پرونده نشان ملی فرانسه پرچم فرانسه نشان ملی فرانسه
45,اتحادیه اروپا,3120,ویکی جعبه اطلاعات کشور نام اصل نام فارس رسم اتحادیه اروپا تصویر پرچم شعار شعار اتحادیه اروپا متحد تنوع کمیسیون اروپا
46,کیش ابهام زدایی,3121,دین مفهوم آیین مذهب جزیره کیش جزیره کیش جزیره خلیج فارس کیش شهر مرکز کیش شهرستان بندر لنگه استان هرمزگان ایران دهستان کیش نام دهستان کیش شهرستان بندر لنگه استان هرمزگان ایران کیش شطرنج کیش اصطلاح بازی شطرنج کیش سومر کیش نام شهر باستانی سومر جنوب عراق امروز کیش انجیل کیش نام کتاب انجیل کرانه کیش نام ساحل ماهیگیری دریا ایرلند فانوس کیش کرانه قرار ابهام زدایی
47,سرود مارس ی,3128,تغییرمسیر سرود ملی فرانسه
48,سرود ملی فرانسه,3129,پرونده بندانگشت چپ روژه لیل سازنده سرود مارسییز حضار خواند#خوان پرونده بندانگشت سرود مارسییز فرانسوی نام سرود ملی کشور فرانسه نام نام شهر مارس فرانسه گرفت#گیر نام سرود فارس مارسیز مارسه یز نوشت#نویس روژه لیل افسر ارتش فرانسه انقلابیون کشور سده میلاد سده سرود تاریخ مهیج مارسییز سروده سرود رسم انقلاب فرانسه سرود ملی کشور فرانسه
49,روژه لیل,3130,پرونده بندانگشت راست روژه لیل کلود ژوزف روژه لیل میلاد میلاد آهنگساز فرانسه فرانسوی سال میلاد سرود ملی فرانسه سرود مارسییز ساخت افسر ارتش فرانسه انقلابیون کشور سالگی درگذشت منابع پانویس ویکی انبار رده ویکی پدیای انگلیسی نسخه ژوئن مستند رده آهنگساز اهل فرانسه رده آهنگساز دوره کلاسیک رده آهنگساز کلاسیک اهل فرانسه
50,موزیلا,3141,موزیلا انگلیسی نامی ست انواع گوناگون ارتباط بنیاد موزیلا کاربرد نام اشاره نام بنیاد موزیلا توسعه پروژه گوناگون فایرفاکس موزیلا تاندربرد تاندربرد پرداخت#پرداز مجموعه نرم افزار اینترنت موزیلا ارائه توسط بنیاد موزیلا روز تغییرنام مانکی ذیل بنیاد موزیلا توسط انجمن مانکی عرضه اسم رمز نرم افزار هدایتگر نت اسکیپ پیوند ویکی انبار رده رده موزیلا رده مرورگر رایگان وب
51,عدد طبیعی,3157,پرونده بندانگشت اعداد طبیعی اعداد صحیح مثبت صفحه اعداد شمردن کار رفت#رو مجموعه نهادی اعداد طبیعی مجموعه عدد صفر اضافه مجموعه اعداد حساب مجموعه مجموعه نامتناهی ریاضیات مجموعه نهادی اعداد طبیعی نماد نمایش حرف آغاز واژه انگلیسی معنا نهادی طبیعی گرفت#گیر
52,موج,3179,پرونده بندانگشت موج موج سینوس سینوسی موج فاصله قله متوالی موج نقطه تکرار موج شکل یکسان گفت#گو نشان موج سرعت یکسان موج فرکانس بالاتری موج کوتاه موج فرکانس پایین‌تری موج بلندتری یادکرد فصل کتاب ناشر
53,تخت جمشید,3197,نحش سخ جعبه اطلاعات میراث جهانی یونسکو نام تخت جمشید ردیف راست سخ سنگ نبشته اردشیر یکم کاخ ه سنگ نبشته اردشیر یکم کاخ ه سخ ردیف چپ سخ نمایی کاخ آپادانا تخت جمشید سخ ردیف راست سخ
54,نوروز,3199,کاربرد جعبه اطلاعات میراث فرهنگ معنوی بشر نام جشن نوروز تصویر زیرنویس نگاره آیین پیشکش هدایا پادشاه ایران تخت جمشید ایران شناسان باورند ساخت تخت جمشید برپایی جشن نوروز پک ک تصویر زیرنویس هفت سین کشور پرچمک ایران ایران آسیا اقیانوسیه منطقه منطقه منطقه منطقه منطقه کد تاریخ معیار
55,استاندارد,3205,کاربرد تعریف استاندارد قرارداد سنت قوانین نمونه سرمشق کار اجرا قبول عام سلطان پور دانشنامه کتابدار اطلاع رساند#رسان وضع قوانین مقرارت کیفیت مشخصات مطلوب کالا خدمات استاندارد استاندارد محور مجزا ماهیت محصولات امور مدیریت ارزیاب وانطباق‌ها مسئولیت اجتماع بود#باش یادکرد وب عنوان موازی کاشت#کار وزارت بهداشت مؤس
56,ابوبکر,3217,کاربرد جعبه اطلاعات پادشاه عنوان خلیفه رسول الله تصویر زیرنویس تصویر ابوبکر صدیق لقب صدیق اندازه تصویر دوران تاجگذاری زادگاه مکه پرچم عربستان زادروز تاریخ درگذشت جمادی الثانی قمر محل درگذشت مدینه پرچم عربستان آرامگاه مدینه دین اسلام لقب صدیق لقب صدیق محمد عمر فرزند پدر مادر دودمان خلفا راشدین عبدالله بن ابی قحافه عثمان بن کعب تیمی قرشی ملقب ابوبکر عرب بو بکر ابوبکر صدیق لقب صدیق
57,شمرد#شمار ایران باستان,3219,شمرد#شمار ایران باستان انواع شمرد#شمار ایران اسلام رایج گفت#گو شمرد#شمار ایران سیر تحول گمان پیچیده بحث انگیزترین مباحث ایران شناخت#شناس سده گذشته جشن ایران عسکر بهرام جشن ایران عسکر بهرام شمرد#شمار هخامنش ظاهرا دیر ایران باستان زمان تاجگذاری پادشاه عنوان آغاز تق
58,خاورمیانه,3220,اشتباه شد#شو غرب آسیا منبع پرونده چپ بندانگشت وسط منطقه جغرافیایی خاور میانه واقع جنوب غرب قاره آسیا دربرگیرنده کشور مصر ایران خاورمیانه منطقه تراقاره‌ای عمده غرب آسیا مصر ناحیه گروه فرهنگ نژاد گوناگون مردم ایران ایران آشوری‌ها ترک آناتولی اسرائیل عرب بربر زبان اصل منطقه عبارت
59,الگو رده,3227,تغییرمسیر الگو اصل رده
60,فایرفاکس,3229,موزیلا فایرفاکس فایرفاکس محیط میزکار ویندوز بنیاد موزیلا مشارکت سخ شرکت موزیلا تاریخ آغاز سن بله جاوااسکریپت
61,رآکتور هسته‌ای,3233,بهبود منبع تاریخ فوریه پرونده بندانگشت قسمت هسته رآکتور هسته‌ای هسته رآکتور هسته‌ای تحقیقات سوئیس واکنشگاه هسته‌ای رآکتور اتم دستگاه انجام واکنش هسته‌ای واکنش هسته‌ای بصورت تنظیم کنترل دستگاه اندازه آزمایشگاه تولید ایزوتوپ ایزوتوپ مواد پرتوزا رادیواکتیو پرتودارو پرتوداروها مصارف پزشک آزمایشگاه اندازه صنعتی تولید برق ساخت#ساز تاریخچه
62,گو ش همدان,3243,تغییرمسیر لهجه همدان
63,الیگودرز,3248,جعبه شهر ایران نام رسم الیگودرز نقشه آری عرض جغرافیایی جغرافیایی تصویر اندازه تصویر برچسب تصویر خیابان ولیعصر شمال استان لرستان شهرستان الیگودرز مرکزی نام محل آلیورز الورز نام نام قدیم آل گودرز سال شهرشدن جمعیت سال یادکرد وب نویسنده نشانی عنوان نتایج سرشماری سال ناشر معاونت برنامه استاندار خراسان جنوبی نقل مرکز آمار ایران تاریخ اردیبهشت تاریخ بازبینی اردیبهشت رشدجمعیت
64,اخترفیزیک,3251,پرونده بندانگشت چگونگی تکامل کوتوله سفید پرونده بندانگشت تصویر کهکشان پرونده بندانگشت اصل ارزی جرم انرژی اصل مجموعه اختر فیزیک ا خت رفیزیک شاخه فیزیک ویژگی فیزیکی ستارگان پرداخت#پرداز
65,موسیقی سنت ایران,3252,تغییرمسیر موسیقی ایران مقاله موسیقی ایران جعبه اطلاعات میراث فرهنگ معنوی بشر نام موسیقی اصیل ایران تصویر زیرنویس زن ایران اجرا موسقی نقاش آثار دوره صفوی اصفهان تصویر زیرنویس کشور پرچمک ایران ایران منطقه آسیا اقیانوسیه منطقه منطقه منطقه منطقه کد تاریخ معیار وضعیت پانویس جعبه میراث فرهنگ موسیقی ایران هنر ایران
66,اردن,3260,بهبود منبع جعبه اطلاعات کشور نام عادی اردن نام رسم الم لک ال ردنی الهاشمی تصویر پرچم تصویر نشان ملی نقشه سرود ملی سرود ملی اردن زنده باد پادشاه شعار خدا میهن پادشاه پایتخت امان ا م ان زبان رسم زبان عرب عرب بزرگ شهر امان حکومت پادشاه مشروطه حاکمان پادشاه سخ وزیر نام حاکمان عبدالله سخ عبدالله نسوز موارد منجر تشکیل استقلال قیوم بریتانیا تاریخ تشکیل مه
67,عجلون,3261,جعبه شهر اردن نام رسم عجلون عرض جغرافیایی جغرافیایی تصویر اندازه تصویر نشان رسم اختیار پنهان اندازه نشان اختیار پنهان پرچم اختیار پنهان اندازه پرچم اختیار پنهان برچسب تصویر کاخ عجلون استان عجلون شهرستان اختیار پنهان نام محل مد ن عجلون نام قدیم اختیار پنهان سال شهرشدن میلاد جمعیت نفر شهر سخ نفر رشدجمعیت اختیار پنهان تراکم جمعیت اختیار پنهان زبان اختیار پنهان مذهب
68,امان,3263,اشتباه شد#شو عمان امان عم ان شهر راست چپ پایین معبد هرکولس کاخ امویه ایستگاه خط آهن حجاز عثمان مسجد پادشاه عبدالله کشور استان اردن استان
69,تار,3273,پرونده بندانگشت تار تار ساز زه ساز مضراب مضراب موسیقی ایران ناخن انگشت اشاره انگشت اشاره دست راست توضیح نوازنده راست دست نواخته سیم جنس فولاد برنج موازات کاسه پنجه کشیده شد#شو تار پرده حرکت جنس روده روده حیوانات ابریشم صدا ظریف دماغ حدود غمگین گستره صوت بم خط حامل لا بمل بالا خط حامل نتیجه اکتاو منابع
70,جر,3274,جعبه شهر اردن نام رسم جر عرض جغرافیایی جغرافیایی تصویر اندازه تصویر نشان رسم اندازه نشان پرچم اختیار پنهان اندازه پرچم اختیار پنهان برچسب تصویر فوروم جر استان جر شهرستان اختیار پنهان نام محل مد ن جر نام قدیم اختیار پنهان سال شهرشدن میلاد جمعیت نفر رشدجمعیت اختیار پنهان تراکم جمعیت اختیار پنهان زبان اختیار پنهان مذهب اختیار پنهان مساحت اختیار پنهان
71,عقبه,3276,جعبه شهر اردن نام رسم عقبه عرض جغرافیایی جغرافیایی تصویر اختیار پنهان اندازه تصویر نشان رسم اختیار پنهان اندازه نشان اختیار پنهان پرچم اختیار پنهان اندازه پرچم اختیار پنهان برچسب تصویر اختیار پنهان استان عقبه شهرستان اختیار پنهان نام محل العقب نام قدیم اختیار پنهان سال شهرشدن میلاد جمعیت نفر رشدجمعیت اختیار پنهان تراکم جمعیت اختیار پنهان زبان اختیار پنهان مذهب اختیار پنهان
72,اسرائیل,3277,نوار یهودیت کاربرد نحش الگو اطلاعات کشور جعبه اطلاعات کشور نام اصل عبری م دین ت ییسرائ ل سخ عرب دول سرائیل نام فارس رسم دولت اسرائیل نام عادی اسرائیل تصویر پرچم تصویر نشان ملی شعار ملی سرود ملی سرود ملی اسرائیل هاتیکوا امید فایل صدا نقشه پایتخت اورشلیم اختلاف بزرگ شهر اورشلیم زبان رسم زبان عبری عبری عرب
73,آلبانی,3280,کاربرد جعبه اطلاعات کشور نام اصل نام فارس رسم جمهوری آلبانی نام عادی آلبانی تصویر پرچم تصویر نشان ملی شعار ملی ای آلبانی بزرگوار نام آلبانیایی سرود ملی سرود ملی آلبانی سرود پرچم نقشه پایتخت تیرانا پایتخت تیرانا بزرگ شهر تیرانا زبان رسم زبان آلبانیایی آلبانیایی حکومت جمهوری پارلمانی حاکمان رئیس جمهور سخ وزیر
74,استان برات,3282,استان برات سخ فهرست استان آلبانی استان محل استان برات نقشه آلبانی
75,استان بولچیزه,3283,استان بولچیزه فهرست استان آلبانی استان محل استان بولچیزه نقشه آلبانی
76,ناحیه دلوینه,3284,استان دلوینه فهرست استان آلبانی استان محل استان دلوینه نقشه آلبانی
77,ناحیه دوول,3285,استان دوول فهرست استان آلبانی استان محل استان د وول نقشه آلبانی
78,استان دیبر,3286,منبع استان دیبر فهرست استان آلبانی استان محل استان دیبر نقشه آلبانی
79,استان دراج,3287,استان دراج سخ فهرست استان آلبانی استان محل استان دراج نقشه آلبانی
80,الباسان,3288,الباسان فهرست شهر آلبانی شهر چشم انداز الباسان محل الباسان نقشه آلبانی
81,ناحیه فیر,3289,منبع استان فیر فهرست استان آلبانی استان محل استان فیر نقشه آلبانی
82,ناحیه گیروکاستر,3290,استان جیروکاستر فهرست استان آلبانی استان محل استان جیروکاستر نقشه آلبانی
83,ناحیه گرام,3291,استان گرام فهرست استان آلبانی استان محل استان نقشه آلبانی
84,ناحیه هاس,3292,استان هاس فهرست استان آلبانی استان محل استان هاس نقشه آلبانی
85,استان کاوایه,3293,استان کاوایه فهرست استان آلبانی استان محل استان کاوایه نقشه آلبانی
86,ناحیه کولونیه,3294,استان کولونیه فهرست استان آلبانی استان محل استان نقشه آلبانی
87,ناحیه کورچه,3295,استان کورچه فهرست استان آلبانی استان محل استان کورچه نقشه آلبانی
88,استان کرویه,3296,منبع استان کرویه فهرست استان آلبانی استان محل استان کرویه نقشه آلبانی
89,استان کوچووه,3297,استان کوچووه فهرست استان آلبانی استان محل استان کوچووه نقشه آلبانی
90,ناحیه کوکس,3298,استان کوکس استان برچی کوکس محل استان کوکس آلبانی
91,ناحیه لژه,3300,استان لژه استان چشم انداخت#انداز قلعه لژه محل استان لژه نقشه آلبانی
92,ناحیه لیبراژد,3301,استان لیبراژد استان محل استان لیبراژد نقشه آلبانی
93,ناحیه لوشنیه,3302,استان لوشنیه موقعیت استان لوشنیه نقشه فهرست کشور مستقل کشور شهرستان آلبانی
94,ناحیه میردیته,3303,استان میردیته استان محل استان نقشه
95,استان مالسی ا ماده,3304,استان مالسی ا ماده استان محل استان مال ا ماده نقشه آلبانی
96,ناحیه مالاکاستر,3305,استان مالاکاستر موقعیت استان مالاکاستر نقشه فهرست کشور مستقل کشور شهرستان آلبانی شهرستان فیر
97,ناحیه پرمت,3307,استان پرمت استان محل استان پرمت نقشه آلبانی
98,استان مات,3308,استان مات موقعیت استان مات نقشه فهرست کشور مستقل کشور شهرستان آلبانی شهرستان دیبر
99,ناحیه پوگرادتس,3309,استان پوگرادتس موقعیت استان پوگرادتس نقشه فهرست کشور مستقل کشور شهرستان آلبانی شهرستان کورچه
100,استان پوکه,3310,استان پوکه فهرست استان آلبانی استان طبیعت استان پوکه محل استان پوکه نقشه آلبانی
